timestamp,user,source_ip,country,device_id,user_agent,failed_login_count,mfa_result,login_hour,impossible_travel_flag,new_device_flag,risky_country_flag,file_delete_count,powershell_event_count,expected_is_anomaly
2026-05-01T08:10:00Z,alex.jordan@example.test,192.0.2.10,US,device-1001,Edge,0,success,8,0,0,0,1,0,0
2026-05-01T08:22:00Z,priya.shah@example.test,192.0.2.11,US,device-1002,Chrome,1,success,8,0,0,0,0,0,0
2026-05-01T09:05:00Z,marco.lee@example.test,192.0.2.12,CA,device-1003,Firefox,0,success,9,0,0,0,2,0,0
2026-05-01T09:20:00Z,sam.rivera@example.test,192.0.2.13,US,device-1004,Edge,0,success,9,0,0,0,0,1,0
2026-05-01T10:00:00Z,taylor.kim@example.test,192.0.2.14,GB,device-1005,Chrome,2,success,10,0,0,0,1,0,0
2026-05-01T10:18:00Z,alex.jordan@example.test,192.0.2.15,US,device-1001,Edge,0,success,10,0,0,0,0,0,0
2026-05-01T10:41:00Z,priya.shah@example.test,198.51.100.44,RU,device-9930,Chrome,9,failure,3,1,1,1,4,7,1
2026-05-01T11:03:00Z,marco.lee@example.test,192.0.2.16,CA,device-1003,Firefox,1,success,11,0,0,0,1,0,0
2026-05-01T11:29:00Z,sam.rivera@example.test,192.0.2.17,US,device-1004,Edge,0,success,11,0,0,0,0,0,0
2026-05-01T12:12:00Z,taylor.kim@example.test,192.0.2.18,GB,device-1005,Chrome,1,success,12,0,0,0,2,1,0
2026-05-01T12:55:00Z,alex.jordan@example.test,192.0.2.19,US,device-1001,Edge,0,success,12,0,0,0,3,0,0
2026-05-01T13:31:00Z,priya.shah@example.test,192.0.2.20,US,device-1002,Chrome,0,success,13,0,0,0,1,0,0
2026-05-01T14:02:00Z,marco.lee@example.test,192.0.2.21,CA,device-1003,Firefox,2,success,14,0,0,0,0,0,0
2026-05-01T14:47:00Z,sam.rivera@example.test,192.0.2.22,US,device-1004,Edge,0,success,14,0,0,0,2,1,0
2026-05-01T15:19:00Z,taylor.kim@example.test,192.0.2.23,GB,device-1005,Chrome,1,success,15,0,0,0,0,0,0
2026-05-01T15:44:00Z,nina.patel@example.test,203.0.113.88,KP,device-8801,UnknownBrowser,12,failure,2,1,1,1,65,9,1
2026-05-01T16:06:00Z,alex.jordan@example.test,192.0.2.24,US,device-1001,Edge,0,success,16,0,0,0,1,0,0
2026-05-01T16:27:00Z,priya.shah@example.test,192.0.2.25,US,device-1002,Chrome,1,success,16,0,0,0,0,1,0
2026-05-01T17:00:00Z,marco.lee@example.test,192.0.2.26,CA,device-1003,Firefox,0,success,17,0,0,0,2,0,0
2026-05-01T17:18:00Z,sam.rivera@example.test,192.0.2.27,US,device-1004,Edge,1,success,17,0,0,0,1,0,0
2026-05-01T18:40:00Z,taylor.kim@example.test,203.0.113.35,BR,device-1005,Chrome,7,success,18,1,0,1,2,0,1
2026-05-01T19:02:00Z,alex.jordan@example.test,192.0.2.28,US,device-1001,Edge,0,success,19,0,0,0,0,0,0
2026-05-01T19:37:00Z,priya.shah@example.test,192.0.2.29,US,device-1002,Chrome,2,success,19,0,0,0,1,1,0
2026-05-01T20:05:00Z,marco.lee@example.test,192.0.2.30,CA,device-1003,Firefox,0,success,20,0,0,0,0,0,0
2026-05-01T20:36:00Z,sam.rivera@example.test,192.0.2.31,US,device-1004,Edge,1,success,20,0,0,0,2,1,0
2026-05-01T21:14:00Z,taylor.kim@example.test,192.0.2.32,GB,device-1005,Chrome,0,success,21,0,0,0,1,0,0
2026-05-01T22:50:00Z,alex.jordan@example.test,198.51.100.91,NG,device-7712,UnknownBrowser,10,failure,22,1,1,1,28,6,1
2026-05-01T23:10:00Z,priya.shah@example.test,192.0.2.33,US,device-1002,Chrome,1,success,23,0,0,0,0,0,0
2026-05-02T00:25:00Z,marco.lee@example.test,192.0.2.34,CA,device-1003,Firefox,0,success,0,0,0,0,1,0,0
2026-05-02T01:12:00Z,sam.rivera@example.test,192.0.2.35,US,device-1004,Edge,1,success,1,0,0,0,0,1,0
2026-05-02T08:04:00Z,alex.jordan@example.test,192.0.2.36,US,device-1001,Edge,0,success,8,0,0,0,1,0,0
2026-05-02T08:28:00Z,priya.shah@example.test,192.0.2.37,US,device-1002,Chrome,1,success,8,0,0,0,0,0,0
2026-05-02T09:11:00Z,marco.lee@example.test,192.0.2.38,CA,device-1003,Firefox,0,success,9,0,0,0,2,0,0
2026-05-02T09:44:00Z,sam.rivera@example.test,192.0.2.39,US,device-1004,Edge,0,success,9,0,0,0,0,1,0
2026-05-02T10:16:00Z,taylor.kim@example.test,192.0.2.40,GB,device-1005,Chrome,2,success,10,0,0,0,1,0,0
2026-05-02T10:58:00Z,nina.patel@example.test,192.0.2.41,US,device-1006,Chrome,4,denied,10,0,1,0,5,3,1
2026-05-02T11:20:00Z,alex.jordan@example.test,192.0.2.42,US,device-1001,Edge,0,success,11,0,0,0,0,0,0
2026-05-02T12:05:00Z,priya.shah@example.test,192.0.2.43,US,device-1002,Chrome,1,success,12,0,0,0,2,1,0
2026-05-02T13:32:00Z,marco.lee@example.test,192.0.2.44,CA,device-1003,Firefox,0,success,13,0,0,0,1,0,0
2026-05-02T14:17:00Z,sam.rivera@example.test,192.0.2.45,US,device-1004,Edge,1,success,14,0,0,0,0,0,0
